11-diethoxyethane|1دی اتوکسی اتان
bank failures|ورشکستگی بانک
bank for international settlements|بانک پرداختهای بین المللی
bank genesis|پیدایش دیواره
bank giro|جیروی بانکی
bank guarantee|ضمانت بانکی
bank heap|تلنبار
bank holiday|تعطیلات رسمی
bank holidays|تعطیلات رسمی
bank interest|ربح بانکی
bank liabilities|تعهدات بانکی
bank line|نخ ماهیگیری وصل به ساحل
bank loan|وام بانکی
bank loans|وامهای بانکی
bank material|مصالح درجا خاک و سنگ
bank measure|حجم طبیعی مواد قبل از حفاری
bank note|پول
bank note bill paper money|اسکناس
bank notes|اسکناس
bank of drop wire|تعداد تیغه‌های اره ای لامل ماشین بافندگی
bank of ice|توده یخ
bank of issue|بانک ناشر اسکناس
bank of lamps|مقاومت با لامپ ردیفی
bank of lights|ردیف چراغها
bank of trancformer|دسته مبدل
bank overdraft|حساب جاری
bank paper|سفته
bank pass book|دفترچه حساب
bank paving|فرش کناره
bank protection|ساحلبانی
bank rate|نرخ بانک
bank rate of discount|نرخ رسمی تنزیل
bank reconciliation|صورت مغایرت بانکی
bank reef|ریف ساحلی
bank reserves|ذخایر بانکی
bank restriction|ممنوعیت تعویض پول با طلا
bank revetment|پوشش ساحل
bank run|مخلوط شن و ماسه
bank sand|ماسه زبر
bank service charge|هزینه کارمزد خدمات بانک
bank shot|پرتابی که به تخته بخورد
bank sluice|دریچه تخلیه
bank snowbank|توده برف
bank stability|پایداری ساحلی
bank statement|صورتحساب بانک، صورت حساب بانکی
bank storage|انباشت ساحلی
bank switching|راه گزینی محدوده
bank teller|تحویلدار بانک
bank transfers|انتقالات بانکی
bank-account|حساب جاری با بانک
bank-stock|سهام بانک
bankable|نقد شدنی در بانک‌
bankable bill|برات بانک پذیر
bankbill, bank bill, bank-bill|اسکناس
bankbook|کتابچه بانک‌
bankbook passbook|دفترچه پس انداز
banked|مانع
banked curve|منحنی مانع
banked track|پیست اتومبیلرانی با انحنای برجسته پیست انحنادار برجسته دوچرخه سواری
banked turn|انحنای پیست اتومبیلرانی بطرف داخل
banked winding|اف
banker|در قمار نگهدار ژتون‌ها یا پول مادر حساب
banker gnome|بانکدار
banker s hours|ساعتهای کاری کم
banker's acceptance|استاندارد تضمین شده بانکی
banker's bill|برات
banker's card|کارت بانکی
banker's order|صف در بانک
banker's order see also standing orde|دستور پرداخت مستمر تا اطلاع ثانوی
banket|همکلاو طلادار
bankful|ارتفاع لبریزی
bankfull stage|داغاب
bankhead|ابشکن
banki turbine|توربین بانکی
banking|بانکدار
banking deposit account|حساب سپرده بانکی
banking house|شرکت بانکداری شرکت بانکی
banking principles|اصول بانکداری
banking school|مکتب بانکداری
banking system|نظام بانکداری
banking track|انحنای پیست دوچرخه سواری بطرف داخل
banknote|اسکناس درانگلیس‌
banknote, bank note|اسکناس
banko kuto|اراضی سیلسی
bankofdeposit, bank of deposit|بانک پس انداز
bankroll|پشتوانه
bankroll budget|بودجه دادن
bankroll cash|نقدینه
bankroll cash cash flow|نقدینگی
bankroll equity inventory kitty stock supply|موجودی
bankroll pay|پول دادن
bankrupt|مردود
bankrupt beggar blackguard poverty-stricken|لات
bankrupt bust busted impecunious insolvent|مفلس
bankrupt disaffected|سرخورده
bankrupt insolvent|ورشکسته
bankrupt of|فاقد
bankrupt ruin|ورشکسته کردن
bankrupt to be adjudged / declared|ورشکسته اعلام شدن به حکم دادگاه
bankruptcy|اعسار
bankruptcy failure insolvency|ورشکستگی
bankruptcy order see also adjudication of bankruptcy|حکم ورشکستگی
bankruptcy proceedings|دعوی ورشکستگی
bankruptcy risk|ریسک ورشکستگی
bankruptcy trustee|تولیت ورشکستگی
bankruptey or liquidation strategy|استراتژی ورشکستگی یا انحلال
bankrupts certificat|گواهی نامه اعاده حیثیت‌
bankrupts certificate|گواهی نامه اعاده حیثیت
banks|موجودی نزد بانکها
banks island|جزایر بنکز غربی‌ترین جزایر کانادا در اقیانوس شمالگان یا منمد شمالی
banksia|گیاه شناسی بانکسیا بتههای همیشه سبز بومی استرالیا از خانوادهی
bankside|شیب ساحل‌
banlon|روش بانلون جهت تهیه نخهای کششی به کمک موج و تثبیت حرارتی
banne|پرتگاه‌های آهک دار
banned|منحه
banner|علم
banner bodkin colors flag standard streamer wand|درفش
banner cloud|ابر بانر
banner colors ensign flag pennon standard|بیرق
banner headline|عنوان سرمقاله روزنامه
banneret|پرچم کوچک پرچمچه درفشک هم مینویسند
bannermanite|نوعی کانی
bannerol|پرچم روی جنازه‌
bannister|نرده پلکان، نردهء پلکان، نرده‌ء پلکان‌
bannisterite|انگلیسی
bannock|اسکاتلند نوعی کیک که از آرد گندم یا جو درست میشود
banns|ع دهند
banquet|بزم
banquet cotillion feast festival fete fete party|بزم
banqueting room|تالار ضیافت
banquett|بزم
banquette|نیمکت‌
banquo|بانکو یکی از شخصیتهای نمایش شکسیر به نام مکب
banshee|بنشی
banshee or banshie|افسانههای سلتها بنشی روح مونی که جلو هر خانهای شیون کند کسی در آن خواهد مرد
banstand|جایگاه ارکست‌
bantam|کوچک
bantamweight|کیلوگرم
bantamweight, bantam weight|خروس وزن‌
banter|خوشمزگی
banter chaff|دست انداختن به طور دوستانه
banteringly jokingly tongue-in-cheek|با شوخی
bantham weight|خروس وزن
banting|سر فردریک گرانت بانتینگ پزشک کانادایی و یکی از دو کاشف انسولین
bantling|کودک‌
bantu|بانتو
banty|امریکا
banyan|انجیر هندی
banzai|شادباش‌
banzai attack|حمله بی پروا
banzoyl peroxide|بنزوییل پر اکساید
baobab|بایوباب گیاه شناسی
baom joomok|یک مفصل
baotite|نوعی کانی
baotou|چین
bap or bapt|غسل تعمید شده
bapt|عضو کلیسای باب تیست
baptise|ایین غسل تعمید و نامگذاری
baptisia|بومی امریکای شمالی
baptism|غسل
baptism of fire|اولین باری که سربازان تازه زیر آتش دشمن قرار میگیرند غسل آتش
baptism of the cross|خاج شویان
baptismal|تعمیدی
baptist|معمد
baptistery|تعمید
baptistry|تعمید
baptize|تعمید دادن
baptizer|دهنده غسل تعمید، دهنده‌ء غسل تعمید
baqerabad formation|آهک زیرین
baqoroq formation|لامینه‌های مورب
bar|میله م
bar, the bar|وکالت
bar a esthesia, bar(a)esthesia|حس فشار
bar association|کانون وکلاء
bar at|در دست رسیدگی
bar bender|دستگاهی که میل گرد را خم میکند
bar booth boutique concession kiosk|دکه
bar bullion ingot|شمش
bar cafe cafe coffeehouse tearoom|کافه
bar chart|وزن نگار
bar code|کد میله ای
bar code reader|خواننده رمز نواری
bar coding|بارکد گذاری
bar council|هیات مدیره کانون وکلا
bar cove inlet shale|شیل
bar dam|بنداب
bar diagram|شکل ستونی
bar electrode|الکترود قلمی
bar examination|امتحان وکالت
bar exclude occlude repel|راه ندادن
bar finger sand|ب سد انگشتی
bar frame|تیرک قاب
bar generator|نوارساز
bar graph|نمودار خطی
bar graph histogram|نمودار ستونی
bar hindrance|سد راه
bar magent|اهنربای قلمی
bar magnet|آهنربای قلمی
bar measure|میزان موسیقی
bar mill|دستگاه نورد میله گرد
bar mitzvah|میشود
bar mitzvah or bar mizvah|یهودیت
bar obstacle obstruction roadblock|راه بند
bar pale pole stake|تیرچه
bar pattern|ترام با خطوط مورب با زاویه کوچکتر از 45 درجه
bar pressing|میله فشردن
bar printer|چاپگر میلهای
bar rack|آشغالگیر میله ای
bar reinforcement|تقویت میله
bar rod|میله
bar scale|پلان
bar screen|سرند
bar sheet|جدول ثبت صدا
bar sight|ستون درجه
bar steel|فولاد شمش
bar stock|دسته حدیده
bar stop|توقف میله
bar to progress, a bar to progress|مانع پیشرفت یا ترقی، مانع پیشرفت یاترقی
bar tribunal|محکمه
bar winding|میله هایی که به عنوان سیم پیچی در رتور به کار برده می‌شود
bar work|نورد کردن میله
bar wound armature|ارمیچر میله ای
bar-b-que|هم مینویسند
barabbas|انیل باراباس مرمی که به جای او حضرت عیسی را مصلوب کردند
barabotine|خاک رسی پلاستیکی
barack|باراک
baracna|پرتگاه‌های صخره ای نوک تیز
barade|چاله
barai|رد کردن
barak|باراک
baralyme|مخلوطی از هیدروکسیدهای باریم و کلسیم
barani|بارانی
baranof|امریکا
barany test|ازمون بارانی
bararite|نوعی کانی
baratali|براتعلی
barathea|باراتیا نوعی پارچهی نرم که از ابریشم و پشم یا پنبه و رایون میبافند
baratovite|نوعی کانی
barb|تیزی نیشداری گزندگی
barb beard|داسه
barb corner side|سوک
barb dirt key prickle spine tooth|خار
barb exclamation pout retort snap|تشر
barb irony quip sarcasm taunt|طعنه
barb talker|حرف زننده
barbadian|اهل باربادوس
barbados|باربادوس
barbaralalia|گفتار پریشی لهجه ای
barbarian|عجم
barbarian barbaric inexorable unrelenting|بیرحم
barbarian lowbrow|آدم بی فرهنگ
barbarianism|بربریت
barbarianism barbarity brutality rampage savagery|وحشیگری
barbaric|وحشی
barbaric barbarous gross ill-bred philistine uncouth unrefined|بی فرهنگ
barbaric gothic neanderthal|بربری
barbarise|وحشی کردن
barbarism|بیرحمی
barbarism callousness hardness heartlessness inhumanity obduracy ruthlessness|سنگدلی
barbarism despotism iniquity oppression tyranny|ستمگری
barbarism iniquity injustice oppression outrage|ظلم
barbarism rudeness savagery|بدویت
barbarism savagery|بربریت
barbarity|بی رحمی
barbarization|توحش
barbarize|وحشی کردن
barbarossa|فردریک بارباروسا سرخ ریش یا فردریک اول امراطور روم
barbarous|ظالم
barbarous cruel tyrannical tyrant|ستمکار
barbarously|وحشی
barbary|کشوران اسلامی شمال افریقا
barbary ape|جانورشناسی میمون مکک
barbary coast|بین سالهای 849 تا 906 محلهی ساحلی سانفرانسیسکو که قمارخانههای آن شهرت داشت
barbasco|گیاه شناسی بارباسکو انواع گیاهان بومی مکزیک از جنس و خانوادهی
barbat|بربط
barbate|خاردار
barbe|دندانهای ریز
barbecue|کباب‌
barbecue grate|منقل
barbecue grill roast|بریانی
barbecue grill roaster|کباب پز
barbecue sauce|سس تنوری
barbecued chicken|جوجه کباب
barbed|مجهز
barbedwire, barbed wire|سیم خاردار
barbel|ماهی ریشدار
barbell|دامبل
barbellate|خاردار
barber|سمویل باربر آهنگساز امریکایی
barber beautician cosmetologist|آرایشگر
barber college|آموزشگاه گیس آرایی مدرسهی تربیت آرایشگر
barber haircut hairdresser|سلمانی
barber pole|ستونی پوشیده از نوارههای سفید وقرمز که از قدیم نشان دکان سلمانی بوده است
barberiite|نوعی کانی
barberry|زرشک
barbers block|قالب کلاه گیس
barber's pole|علامتی برای آرایشگاهها در انگلستان
barbershop|آرایشگاه
barbertonite|نوعی کانی
barbery|ریش تراشی
barbet|جانورشناسی مرغ ریشو تیرهی
barbette|مانع برج
barbey ixometer|جریان سنج باربی
barbican|بر و بارو
barbican bridge|پل
barbican entrance entry gate portal|دروازه
barbicel|پرچه‌
barbie|بازی باربی
barbie doll|زن یا دختر زیبا اما کودن یا بی اخلاق
barbital|ورونال‌
barbiturate|نمک اسیدباربیتوریک، ش. نمک اسید باربیتوریک، شیمی نمک اسید باربیتوریک
barbiturates|باربیتوراتها
barbituric acid|شیمی اسید باربیتوریک
barbizon school|نام قریهای در شمال فرانسه مکتب نقاشی باربیزون
barboleu|باتلاق
barbosalite|نوعی کانی
barbourofelis|باربارا فیلیس
barbra|باربارا
barbule|خارکوچک‌
barburetor heater|جلد نصب شده دراطراف لوله‌های پنجه اگزوز
barcane|تپه‌های شنی ماسه ای در آذربایجان شوروی
barcarole|سرود کرجی بان
barcarole barcarolle|سرود قایقرانان ونیز
barcarole or barcarolle|آهنگ شبیه این سرود
barcarolle|سرود کرجی بان، سرود گرجی بان‌
barcelona|بارسلون
barcelona chair|صندلی بارسلون بی دسته و فلزی و تشک دار که تقریبا به شکل ضربدر است
barch or barch|لیسانسیه معماری
barchan|برخان یا تپه ماسه ای هلالی شکل
barchan dune|تلماسه برخان
barchart, bar chart|نمودار میله ای، نمودار میلهای
barcode|بارکد
barcol molding|سختی بار کل
barcropper|وسیله ای که میل گرد را قطع میکند
barcza system|سیستم بارکزا در گشایش رتی
bard|شاعر چکامه نویس
bard maker poet rhymer versifier|شاعر
bard of avon|لقب شکسیر که متولد شهر استراتفورد در کنار رود ایون بود
bard-cannon theory|کنون
barded|مجهز
bardia|بردیا
bardic|حماسی‌
bardit|مرداب
bardolater|شیفته اشعار وسبک شعری شکسپیر
bardolino|محصول ایتالیا
bare|لخت برهنه عریان لا لچ
bare ass|کون لخت
bare base|پایگاه اشغال نشده
bare board|برد خالی
bare boat|قرار داد اجاره کشتی
bare bow|کمان لخت
bare cable|کابل بی روکش
bare conductor|هادی بی روکش
bare denude strip|عریان کردن
bare eire|سیم لخت
bare electrode|سیم جوش
bare face naked visage|لچ
bare faced, bare-faced|بیحیا
bare foot|چاه باز
bare foot completion|تکمیل دیواری
bare grinder|سنگ زدن سطح سیلندر لخت
bare king|شاه تنها یا بی یاور شطرنج
bare machine|ماشین لخت
bare naked nude|لا
bare of|تهی از
bare of the statue of limitations|شمول مرور زمان
bare ownership see also naked ownership|مالکیت عین بدون منافع
bare spots|نقاط خالی
bare strip|برهنه شدن
bare strip unclothe undress|لخت شدن
bare subsistence|زندگی بخور و نمیر
bare subsistence, a bare subsistence|سد جو
bare trustee|امینی که موعد رد امانتی که نزد اوست فرا رسیده باشد
bare wire|سیم لخت
bare-ass|کاملا لخت
bare-boat charter|اجاره دربست وسیله نقلیه
bare-bones|حداقل لازم
bareback|بی زین
bareback riding|سواری بدون زین برای 8 ثانیه بر اسب وحشی
barebaked|بی زین‌
bareboat|قایق یا ناوچهی تفریحی که بدون خدمه و ناخدا کرایه داده شود
bareboat charter|اجاره دربست
barebone|استخوان خالی
barefaced|پررو
barefacedness|گستاخی
barefeet barefooted uncased|لخت
barefooed well barefoot hole uncased|چاه بی جداره
barefoot|پابرهنه
barefoot barefooted|پابرهنه
barefooted|پابرهنه‌
barege or barege|پارچهی بارژ از ابریشم و پشم یا پنبه و پشم
barehanded|بی ابزار
barehanded, bare handed|بی وسیله
barehanded unarmed|بی سلاح
bareheaded|سربرهنه
bareheaded uncovered|بی کلاه
barehull charter|اجاره دربست
barelegged|بی جوراب
barelegged uncovered|بی پوشش
barely|بااشکال، با اشکال
barely minimum skeleton|حداقل
barely open|فاش
bareme|شمارک
baren rock|سنگ بی عیار
bareness|سادگی
bareness nakedness nudity|عریانی
barents sea|دریای بارنتز
barentsite|نوعی کانی
barepole charter|اجاره دربست
barf|امریکا
barf city|شخص یا چیز نامطلوب
barf out|آشفته شدن
barf someone out|کسی را کامل بیزار کردن
barff's precess|حفاظت اهن در مقابل زنگ زدن بوسیله اکسیده کردن
barfly|خمار
bargain|سودا
bargain, a bargain|خرید ارزان
bargain billy goat steal|بز
bargain buy deal trade traffic transaction truck|معامله
bargain controvert negotiate parley treat|مذاکره کردن
bargain counter|میز اجناس ارزان شده در برخی فروشگاه‌های بزرگ
bargain dicker haggle spar|چانه زدن
bargain exchange market marketing|دادوستد
bargain purchase|خرید با تخفیف
bargain purchase option|اختیار خرید به قیمتی ارزانتر از قیمت جاری بازار اختیار خرید مذاکره ای
bargain trade|تهاتر کردن
bargained|توافق شده
bargainee|مشتری
bargainer|فروشنده
bargainer haggler|اهل چانه زنی
bargaining|چانه زدن
bargaining chip|انگیزانه
bargaining power|قدرت چانه زنی
bargaining theory of wages|نظریه چانه زنی مزدها
bargains|معاملات
barge|لنج
barge couple|معماری
barge course|معماری
barge flatboat lighter pontoon raft|قایق ته پهن
barge for subsea pipe connections|دوبه اتصال لوله در زیر آب
barge hustle impel jostle press push|هل دادن
bargeboard|معماری
bargee|آدم خشن
bargee boatman|کرجی بان
bargee deckhand seaman|جاشو
bargello|سوزن دوزی به طرح شعلهی آتش
bargeman|دوبه ران
barghest|مردم باورهای انگلیس بارگست جن سگ مانندی که دیدنش بدبیاری و مرگ میآورد
barging|خطا در تعیین مسیر قایق
barhop|در یک شب از میخانه به میخانههای دیگر رفتن میخانه گردی کردن
bariandite|نوعی کانی
bariatrics|پزشکی شناخت و درمان فربهی فربه شناسی
baric|فیزیک وابسته به وزن و فشار به ویژه وزن و فشار هوا
baricite|نوعی کانی
baril|بشکه
barilla|قلیاب قمی
barin|بخش باتلاقی ته مرداب
baring the king|تنها کردن شاه شطرنج
bario-olgite|نوعی کانی
bario-orthojoaquinite|نوعی کانی
bariomicrolite|نوعی کانی
bariopyrochlore|نوعی کانی
bariosincosite|نوعی کانی
barite|آبی
barite white|پیگمنت سفید سولفات باریم
baritone|باریتون
barium|باریم
barium chloride|شیمی کلرید باریم آمیزهی زهرین: که مشتمل است بر بلورهای سفید قابل حل در آب
barium hydroxide|شیمی هیدروکسید باریم پودر سفید و زهرین: 2 OH
barium peroxide|شیمی پراکسید باریم پودر سفید متمایل به خاکستری: هم میگویند
barium sulfate|سولفات باریم‌
barium titanate|میکروفونها
barium-alumopharmacosiderite|نوعی کانی
barium-pharmacosiderite|نوعی کانی
barium-zinc-alumopharmacosiderite|نوعی کانی
bariumbannisterite|نوعی کانی
bark|درخت را پوست کندن
bark bay|عوعو کردن
bark beetle|آفت درخت کا و غیره
bark boat ship vessel|کرجی
bark clang peal|دنگ دنگ کردن
bark fibers|الیاف پوست درخت یا گیاه
bark ring|صدای بلند کردن
bark scale|مقیاس بارک
bark sputter|ترق تروق
bark tanning|دباغی گیاهی
bark up the wrong tree|عوضی گرفتن
bark worse than one's bite|به اندازه ای که نشون میده بد نیست
bark yap|واق واق کردن
barkeep|باده فروش‌
barkeeper|صاحب بار
barken|سرخ کردن پوست
barkentine|کشتی بادبان دار که دکل جلو آن بادبانهای مربع دارد
barker|شخص یا ماشین پوست کن پوست درخت کن
barker crier herald town crier|جارچی
barkhan|برخان
barkhane|تپه‌های شنی منفرد وجدا از یکدیگر درمناطق صحرایی را گویند
barkhausen oscillation|نوسان بارکهاوزن
barkhausen-kurz oscillator barkhausen oscillator|کوتز
barking|عو
barking dogs seldom bite|منبع
barking spider|منبع ناشناخته گاز روده گوز
barking up the wrong tree|دنبال چیزی در جای اشتباه گشتن
barky|پوستی‌
barley|جو
barley bread|نان جو
barley corn patterns|بافتهای ترکیبی پاناما و سرژه پودی مرکب
barley grain|جودانه
barley seller|جو فروش
barley sugar|در قدیم آب نبات شیرهی شکر و عصارهی جو
barley water|ماء الشعیر
barley water, barley-water|اب جو
barley-water|آب جو
barleycorn|اغ
barleysugar|آب نبات
barleywater, barley water, barley-water|ماشعیر
barlow-schever reliability growth model|شه‌ور
barm|مخمر
barmaid|گارسون
barmaid barman bartender|ساقی
barman|پیشخدمت میخانه
barmecide|برمکی
barmecide feast|برمکی
barmy|احمق
barn|انبار
barn corral stable stabling|طویله
barn dance|امریکا مهمانی رقص که در نواحی روستایی در انبار بزرگ مزرعه انام میشود
barn door|نورگیر دروازه ای
barn door wipe|روبش دروازه ای
barn doors|دروازه
barn hayloft|کاهدانی
barn mow|کاه انبار
barn owl|جانورشناسی جغد سینه خال از تیرهی به ویژه گونهی
barn swallow|جانور شناسی پرستوی روستا
barnabas|انیل برنابا همسفر پولس
barnaby|بارنابی
barnacle|سرسخت‌
barnacle goose|جانورشناسی غاز سرخاب غاز وحشی شمال اروپا
barnacles|عینک
barnburner, a barnburner|مسابقه مهیج
barnesite|نوعی کانی
barney|دعوا
barnstorm|در انجا
barntine|ابریشمی از خاور نزدیک که جهت تور تزیینی و گلابتون استفاده می‌شود
barnum|پ. ت. بارنم سیرک دار و نمایشگر امریکایی
barnyard|زشت
barnyard language|زبان کثیف و زشت
baro|وزن فشار به ویژه فشار جوی
baro jireugi|ضربه دست مخالف ایستادن
baroclinity|کژفشاری
barogram|فشارنگار
barograph|هوا سنج ثابت
barograph barometrograph|هواسنج ثبات
barography|فشارنگاری
baroja|پیو باروخا رمان نویس اسانیایی
barolo|شراب بارولو شراب قرمز کوهایههای شمال ایتالیا
barology|علم ثقل یاسنگینی‌
barometer|جوسنج
barometer, a barometer|هواسنج فلزی
barometer indicative representative monitor|نمایشگر
barometric|فشاری
barometric altimeter|ارتفاع سنج فشاری
barometric altimeter reversionary|دستگاه ضد حرکت عقربه ارتفاع سنج
barometric altitude|ارتفاع بارومتری هواپیما
barometric equation|معادله فشاری
barometric leveling|تراز کردن هواپیما از نظر فشار جو تعادل بارومتری هواپیما
barometric pressu|فشار جو
barometric pressure|فشار جو
barometrical|وابسته به سنجش فشار هوا
barometry|سنجش فشار هوا
baron|بارون
baronage|مقام بارون
baroness|همسر بارون
baronet|بارونت
baronet satin|نوعی پارچه با تار ریون فیلامنت و پود پنبه و بافت ساتین پودی
baronetage|مقام و منصب بارونی‌
baronetcy|مقام بارونت
barong|ع چاقو یا شمشیر دسته کلفت لبه تیز
baroni|بارانی
baronial|بارونی‌
barony|شان بارون
barophobia|ترس از جاذبه و گرانش زمین
baroque|غریب‌
baroque architecture|سبک معماری باروک
baroreceptor|گیرنده فشار
baroscope|دستگاه سنش فشار جو و تغییرات آن باروسک
baroseismic storm|طوفان لرزه فشاری
barotaxis|فشارگردی
barotor|ماشین رنگرزی با روتور
barotropic|فشاورد
barotropism|فشارگردی
barotropy|صفت
barouche|نوعی درشکه چهارچرخه‌
barpel|بش که
barque|کرجی‌
barquentine|کرجی‌
barquillite|اسپانیا
barr body|پیکره بار
barrack|در سربازخانه یا ساختمان کارگری جای دادن
barrack, barracks|کلبه یا اطاقک موقتی‌
barrack boo catcall discredit jeer hiss|هو کردن
barracks bag|جوال سربازی ساک
barracks base fort garrison post|پادگان
barracoon|حصار
barracuda|درنده
barracuda gar|نیزه ماهی جانورشناسی
barrage|حملهی مداوم و سنگین ضربات پیاپی
barrage cannonade shell|گلوله باران کردن
barrage fire|آتش سد
barrage jamming|اعوجاج سد کننده
barrage of fire|سد آتش
barrage reception|سد گیرنده
barrage rocket|موشک مخصوص تهیه سد آتش، موشک مخصوص تهیه سد اتش
barramundi|جانور شناسی
barranca|بارانکا
barranquilla|شهر بارانکیا در شمال باختری کشور کلمبیا امریکای جنوبی
barrator|اهل‌
barrator or barrater|کسی که مرتکب گردد
barratry|خطا
barre|نردهای که هنگام تمرین رقص باله به آن تکیه میدهند بار هم مینویسند
barre marks|اثرات راه راه ضخیم یا برجسته ناشی از تار یا پود اشتباه در پارچه
barred|بسته‌
barred a|طاق حزبی، ط‌اق حزبی‌
barred by limitation|مشمول مرور زمان
barred by statute|مشمول مرور زمان
barred by the statute of limitation|مشول مرور زمان
barred claim|ادعای ممنوع از طرح
barred closed shut|مسدود
barred deprived disadvantaged underprivileged|محروم
barred forbidden illegitimate illicit|قدغن
barred forbidden illicit impermissible|ممنوع
barred grilled|نرده دار
barred owl|بومی امریکای شمالی
barred spiral galaxy|یا
barred streak streaky stripe striped stripy wale|راه راه
barredo|آجر پزی
barrel|خم
barrel ass|با بی احتیاطی یا به سرعت حرکت یا رانندگی کردن
barrel bath container matter receptacle utensil vessel|ظرف
barrel bbl b brl|بشکه
barrel burnishing|صیقلکاری در بشکه
barrel cam|برجستگی طبلی
barrel cask drum|بشکه
barrel chair|صندلی فنری که پشتش سفت ومقعر است‌
barrel controller|کلید غلطکی
barrel converter|مبدل طبلکی
barrel copper|مس بشکه ای
barrel distortion|اعوجاج بشکه ای
barrel drop|ابشار لوله ای
barrel fever|مستی
barrel finishing|پرداخت در استوانه
barrel gun|لوله
barrel heaters|گرم کنهای محفظه بدنه
barrel house|بشکه سازی
barrel maker|بشکه ساز
barrel of capstan|غلتک دستگاه بالابر
barrel of fun|شوخی بیش از حد
barrel of winch winch barrel|غلتک تناب کش
barrel offtake regulator|دهانه ابگیر با لوله دریچه دار
barrel organ|اکوردئون
barrel outlet|آبگیر لوله ای، ابگیر لوله ای
barrel printer|چاپگر بشکهای
barrel reflector|منعکس کننده لوله
barrel residence time|زمان اقامت در سیلندر
barrel roll|هواپیمایی غلت کامل به طوری که هواپیما 360 درجه دور خود غلت بزند درازا غلت
barrel shaped lap|متکای ماکویی شکل
barrel shiltter|انتقال دهنده بشکه ای مدارهای رایانه ای که اجازه انتقال اختیاری داده‌ها را می‌دهند
barrel shutter|مسدودکننده استوانه‌ای‌
barrel sling|گره بشکه، گره بش که
barrel switch|گزینه بشکهای، گزینه بش که ای
barrel tamble|گردان بشکه ای
barrel temperature|دمای پاتیل
barrel tumble|گرداندن بشکه
barrel tumbling|گرداندن بشکه ای
barrel vault|اهنگ
barrel zip|مل برق رفتن
barrel-chested|چهارشانه سینه فراخ سرسینه خله
barrel-shaped|ضربی
barrel-stave reflector cut paraboloid reflector|بازتابنده غلاف
barreled shaft|میله تیر که وسط ان کلفت‌تر از انتهایش باشد
barreled space|فضای چلیکی
barreled up|مست
barrelful|مقدار خیلی زیاد
barrelhouse|میکده ورقاصخانه ارزان قیمت‌
barrell|بوش
barrels condensate per day|تعداد بشکه تحت فشار مایع شده در روز
barrels condensate per hour|تعداد بشکه تحت فشار مایع شده در ساعت
barrels fluid per hour|تعداد بشکه سیال در ساعت
barrels of water per day|تعداد بشکه آب در روز
barrels oil|تعداد بشکە نفت
barrels oil per day|تعداد بشکه نفت در روز
barrels per calender day bpcd|تعداد بشکه در ۲۴ ساعت
barrels per day|تعداد بشکه در روز
barrels per hour|تعداد بشکه در ساعت
barrels per stream day bpsd|تعداد بشکه در هر روز بهره برداری
barrels per ton|تعداد بشکه در تن
barrels per well per day|نعداد بشکه مربوط به هر چاه در هر روز
barrels water|تعداد بشکه آب
barrels water per day|تعداد بشکه آب در روز
barrels water per hour|تعداد بشکه آب در ساعت
barremian|بارمین
barren|تهی
barren blank fruitless unfruitful|بی بار
barren colorless irksome monotonous uninspired|ملالت آور
barren desert|لوت
barren field feld field|میدان خشک
barren fruitless infertile sterile unfruitful|نازا
barren ground|ناحیه تهی
barren immature|نابرومند
barren intercalation|میان لایه بی ثمر
barren jujube tree|زیر فون‌
barren land|زمین لم یزرع
barren mind|کودن ذهن
barren naked void devoid|عاری
barren stark waste wasteland wild wilderness|برهوت
barren tree|درخت بی میوه
barren woman|زن نازا
barrennees effeteness|عقیم بودن
barrennees infertility|نازایی
barrenness|خشکی
barrens|لم یزرع
barrera|دیوارهی دور زمین گاوبازی جمع ردیف اول صندلیهای جایگاه تماشاچیان صندلی درجهی یک
barrerite|نوعی کانی
barreter|شدتپای
barretry|مرافعه جویی
barrette|سنجاق
barrias|آهک‌های رسی دوره لیاس که به رنگ سیاه خاکستری بوده
barricade|حایل
barrier|سد
barrier bar or beach|کران پشته دیوارهی شنی که در اثر حرکت اموا در ساحل ساخته میشود
barrier beach|ساحل سدی
barrier capaciance|خازن سد
barrier coat|سدپوشه
barrier coating|پوشش مانع
barrier code|کد خط گشا
barrier combat air patrol barcap|گشتی مرزی هوایی
barrier effect|آثار انسداد
barrier forces|نیروهای مامور سد کردن راه دشمن نیروهای حفاظت از موانع
barrier inspection|بازدید از موانع
barrier island|جزیره سدی
barrier layer|لایه سدی
barrier layer capacitance|ظرفیت بند الکترونی
barrier light|نورافکن ساحلی
barrier material|مواد لازم برای ساختن موانع
barrier minefield|میدان مین سد کننده
barrier patrol|گشتی مامور موانع
barrier penetration|نفوذ در سد
barrier penetration by particles|نفوذ ذرات در سد
barrier pillar|پایه حامل
barrier plan|طرح موانع
barrier potential|پتانسیل سد
barrier properties|خواص حفاظتی
barrier reef|ریف سدی
barrier region|ناحیه سد
barrier screw|مارپیچ مانع دار
barrier spacing|مرزبندی کردن
barrier tactics|تاکتیک تهیه موانع
barrier to entry|منع ورود به صنعت
barrier voltage|ولتاژ سد حد اقل ولتاژلازم برای رسانش یک پیوند PN
barrier-free|بدون مرز
barrier-free organization|سازمان بدون مرز
barrier-layer cell|سلول لایه سدی
barrier-layer detector|اشکارساز لایه سدی
barriers|موانع
barriers to entry|موانع ورود به بازار
barring|بجز
barring beside but except other saving unless|به جز
